Volume,Analyte,Signal
0.020613584309659,DARPin,0.00111223947878464
0.020613584309659,target,NA
0.020613584309659,complex,NA
0.0206140700412028,DARPin,NA
0.0206140700412028,target,0.00171653732010596
0.0206140700412028,complex,3.8704376586564e-4
0.0289468367122892,DARPin,5.5885925401617e-4
0.0289468367122892,target,NA
0.0289468367122892,complex,NA
0.0289473629214617,DARPin,NA
0.0289473629214617,target,0.00171592173300228
0.0289473629214617,complex,3.8742422665673e-4
0.0372800891149194,DARPin,-5.4821604333958e-4
0.0372800891149194,target,NA
0.0372800891149194,complex,NA
0.0372806558017206,DARPin,NA
0.0372806558017206,target,0.00226855598757379
0.0372806558017206,complex,5.2612789131221e-4
0.0456133415175497,DARPin,4.64122168810411e-6
0.0456133415175497,target,NA
0.0456133415175497,complex,NA
0.0456139486819795,DARPin,NA
0.0456139486819795,target,0.00226797800252932
0.0456139486819795,complex,4.5736823706217e-4
0.0539465939201799,DARPin,5.5781553411599e-4
0.0539465939201799,target,NA
0.0539465939201799,complex,NA
0.0539472415622384,DARPin,NA
0.0539472415622384,target,0.00226736241542563
0.0539472415622384,complex,3.8860858281214e-4
0.0622798463228102,DARPin,8.3424037999689e-4
0.0622798463228102,target,NA
0.0622798463228102,complex,NA
0.0622805344424973,DARPin,NA
0.0622805344424973,target,0.00116026326013988
0.0622805344424973,complex,3.8897897162312e-4
0.0706130987254404,DARPin,4.23831369425613e-6
0.0706130987254404,target,NA
0.0706130987254404,complex,NA
0.0706138273227562,DARPin,NA
0.0706138273227562,target,0.00115962752907585
0.0706138273227562,complex,3.8934936043406e-4
0.0789463511280707,DARPin,-8.2576375260843e-4
0.0789463511280707,target,NA
0.0789463511280707,complex,NA
0.0789471202030151,DARPin,NA
0.0789471202030151,target,0.00115899179801181
0.0789471202030151,complex,3.8970699140346e-4
0.0872796035307009,DARPin,-0.00276219273109468
0.0872796035307009,target,NA
0.0872796035307009,complex,NA
0.087280413083274,DARPin,NA
0.087280413083274,target,0.00157330419164966
0.087280413083274,complex,3.9244311097526e-4
0.0956128559333312,DARPin,-5.5045077220941e-4
0.0956128559333312,target,NA
0.0956128559333312,complex,NA
0.0956137059635329,DARPin,NA
0.0956137059635329,target,0.00164187236483451
0.0956137059635329,complex,3.9164674555303e-4
0.103946108335961,DARPin,-1.3545908382522e-4
0.103946108335961,target,NA
0.103946108335961,complex,NA
0.103946998843792,DARPin,NA
0.103946998843792,target,0.00171044053801931
0.103946998843792,complex,3.9085038013084e-4
0.112279360738592,DARPin,-3.42885682645e-4
0.112279360738592,target,NA
0.112279360738592,complex,NA
0.112280291724051,DARPin,NA
0.112280291724051,target,0.0017098108501433
0.112280291724051,complex,3.9122883456796e-4
0.120612613141222,DARPin,-5.5031228146479e-4
0.120612613141222,target,NA
0.120612613141222,complex,NA
0.12061358460431,DARPin,NA
0.12061358460431,target,0.00170918116226739
0.12061358460431,complex,-0.00237450561994783
0.128945865543852,DARPin,2.65245725791214e-6
0.128945865543852,target,NA
0.128945865543852,complex,NA
0.128946877484569,DARPin,NA
0.128946877484569,target,0.00170853468775788
0.128946877484569,complex,-0.00140608230127422
0.137279117946482,DARPin,2.7894833470478e-4
0.137279117946482,target,NA
0.137279117946482,complex,NA
0.137280170364827,DARPin,NA
0.137280170364827,target,0.00226113671199285
0.137280170364827,complex,-0.00105991699637675
0.145612370349113,DARPin,5.552442121517e-4
0.145612370349113,target,NA
0.145612370349113,complex,NA
0.145613463245086,DARPin,NA
0.145613463245086,target,0.00226059095728492
0.145613463245086,complex,-7.1375169147928e-4
0.153945622751743,DARPin,1.4017961012454e-4
0.153945622751743,target,NA
0.153945622751743,complex,NA
0.153946756125345,DARPin,NA
0.153946756125345,target,0.00225997537018123
0.153946756125345,complex,-7.1329065484678e-4
0.162278875154373,DARPin,-2.7488499190261e-4
0.162278875154373,target,NA
0.162278875154373,complex,NA
0.162280049005604,DARPin,NA
0.162280049005604,target,0.00225938194143392
0.162280049005604,complex,-7.1282961821438e-4
0.170612127557003,DARPin,-0.00110493676478916
0.170612127557003,target,NA
0.170612127557003,complex,NA
0.170613341885863,DARPin,NA
0.170613341885863,target,0.00198219481498751
